doctor_id,doctor_name,specialization,experience_years,hospital_ids
D0001,Dr Ritwik Sarkar,General Surgery,33,H101|H106
D0002,Dr Vikram Shah,Pediatrics,17,H104
D0003,Dr Pooja Jamir,Endocrinology,18,H104|H106|H111
D0004,Dr Riya Sarkar,Orthopedics,20,H105
D0005,Dr Arpita Nair,Urology,28,H109|H114|H115
D0006,Dr Arindam Jamir,Cardiology,7,H104|H108
D0007,Dr Sunita Banerjee,Nephrology,23,H102|H104|H106|H108
D0008,Dr Nikhil Shah,Urology,35,H109
D0009,Dr Rituparna Iyer,Emergency Medicine,30,H103|H106
D0010,Dr Kaushik Bhutia,General Medicine,28,H105
D0011,Dr Neha Singh,Oncology,26,H111|H115
D0012,Dr Swati Dutta,Nephrology,31,H109
D0013,Dr Priyanka Menon,Neurology,18,H111|H114
D0014,Dr Neha Mukherjee,General Surgery,33,H104|H108|H113
D0015,Dr Bikash Desai,Diabetology,8,H103|H105|H110
D0016,Dr Rohan Nair,Pediatrics,19,H108|H115
D0017,Dr Lakshmi Banerjee,Neurology,16,H105|H106|H107|H113
D0018,Dr Sutapa Sarkar,Endocrinology,30,H103|H110
D0019,Dr Kavita Banerjee,Gastroenterology,35,H103|H104
D0020,Dr Debasish Bhutia,Gastroenterology,29,H107|H111
D0021,Dr Pradeep Bhutia,Neurology,28,H102|H103|H114
D0022,Dr Ishita Chettri,Oncology,24,H110|H115
D0023,Dr Pradeep Saha,Critical Care,6,H101|H111|H113
D0024,Dr Tashi Jamir,Pulmonology,5,H107|H111
D0025,Dr Sunita Iyer,Orthopedics,33,H102|H107|H114
D0026,Dr Debjani Sen,Oncology,24,H102|H105|H115
D0027,Dr Kavita Banerjee,Gastroenterology,23,H102|H109|H110
D0028,Dr Kaushik Chakraborty,Diabetology,4,H104|H111
D0029,Dr Debjani Menon,Gynecology,13,H105|H107
D0030,Dr Ira Verma,Orthopedics,14,H115
D0031,Dr Riya Lepcha,Neurology,33,H111
D0032,Dr Nandini Desai,Endocrinology,6,H101|H112|H114
D0033,Dr Mousumi Bose,Diabetology,30,H108|H110
D0034,Dr Sunita Bose,Nephrology,4,H104|H106
D0035,Dr Ira Mehta,Endocrinology,28,H105|H106|H110
